CNTNAME,CNT,PISAscore,EPIST,JOB,MOTIV
United Arab Emirates,ARE,437,0.04,41.3,0.47
Australia,AUS,510,0.26,29.2,0.12
Brazil,BRA,401,-0.07,38.8,0.23
Chile,CHL,447,-0.15,37.9,0.08
Colombia,COL,416,-0.19,39.7,0.32
Czech Republic,CZE,493,-0.23,16.9,-0.34
Germany,DEU,509,-0.16,15.3,-0.18
Dominican Republic,DOM,332,-0.1,45.7,0.54
Spain,ESP,493,0.11,28.6,0.03
Hong Kong,HKG,523,0.04,23.6,0.28
Italy,ITA,481,-0.1,22.6,0.03
Korea,KOR,516,0.02,19.3,-0.14
Macao,MAC,529,0.06,20.8,-0.06
Peru,PER,397,-0.16,38.7,0.4
Portugal,PRT,501,0.28,27.5,0.32
China,QCH,518,-0.08,16.8,0.37
Chinese Taipei,TAP,532,0.31,20.9,-0.06
United States,USA,496,0.25,38.0,0.23
